vote,Ex NRU1,Ex NRU1,Ex NRU1,Ex NRU1,Ex NRU1,Ex M1,Ex M1,Ex M1,Ex M1,Ex M1
subtest,Maximum Coverage,m-th Happiest Person Pareto Efficiency,Individual Pareto Efficiency,Minimum Utility and Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Maximum Coverage,m-th Happiest Person Pareto Efficiency,Individual Pareto Efficiency,Minimum Utility and Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency
GreedyTotalUtilityMaximization(utility_transform=None),1.0,1.0,1.0,1.0,0.0,0.75,0.5416666666666666,0.7083333333333334,0.125,1.0
ExactTotalUtilityMaximization(utility_transform=None),1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
LPTotalUtilityMaximization(utility_transform=None),1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ExactTotalUtilityMaximization(utility_transform=GeometricTransformation(p=1.5)),1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"Phragmen(marginal_slate, clear=False, redist=False)",1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,0.5,0.08333333333333333,1.0
"ReweightedRangeVoting(k=1.0, max_rating=None)",1.0,1.0,1.0,1.0,0.0,0.375,0.4166666666666667,0.625,0.0,1.0
