vote,Simple 1,Simple 2,Simple 3,Ex 1.1,Ex 1.1 modified,Ex 1.2,Ex A.1,Ex 1.3,Ex 2.1,Ex 2.2,Ex 3.1,Ex 4.1,Ex 4.2,Ex 4.3,Ex 4.4,Ex B.1,Ex B.2,Ex B.3,Ex C.1,Ex C.2,Ex D.1,Ex Alg1.3,Ex Alg1.4,Ex Alg1.5,Ex Alg2.1,Ex Alg A.1,Ex Alg A.2,Ex NRU1
subtest,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency,Non-radical Total Utility Pareto Efficiency
ExactTotalUtilityMaximization(utility_transform=None),1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.4166666666666667,1.0,1.0,1.0,1.0,0.7916666666666666,1.0,1.0,0.9583333333333334
ExactTotalUtilityMaximization(utility_transform=GeometricTransformation(p=1.5)),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
