vote,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_1p0_1p1_1p0_s2_1_1_1,k_1_s1_1p0_1p1_1p0_s2_1_1_1,Ex 1.1,Ex 1.1,Ex 1.1 modified,Ex 1.1 modified,Ex A.1,Ex A.1,Ex 1.3,Ex 1.3,Ex 2.1,Ex 2.1,Ex 2.2,Ex 2.2,Ex 3.1,Ex 3.1,Ex 4.1,Ex 4.1,Ex 4.4,Ex 4.4,Ex B.1,Ex B.1,Ex B.2,Ex B.2,Ex B.3,Ex B.3,Ex C.1,Ex C.1,Ex C.2,Ex C.2,Ex D.1,Ex D.1,Ex Alg1.3,Ex Alg1.3,Ex Alg1.5,Ex Alg1.5,Ex Alg A.1,Ex Alg A.1
subtest,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient
GreedyTotalUtilityMaximization,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExactTotalUtilityMaximization,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPTotalUtilityMaximization,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phragmen_marginal_slate_clear_True_redistr_True,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phragmen_total_clear_True_redistr_True,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
