vote,Ex_1p1,Ex_1p1,Ex_1p1,Ex_1p1,Ex_1p1,Ex_1p1_modified,Ex_1p1_modified,Ex_1p1_modified,Ex_1p1_modified,Ex_1p1_modified,Ex_Ap1,Ex_Ap1,Ex_Ap1,Ex_Ap1,Ex_Ap1,Ex_1p3,Ex_1p3,Ex_1p3,Ex_1p3,Ex_1p3,Ex_2p1,Ex_2p1,Ex_2p1,Ex_2p1,Ex_2p1,Ex_2p2,Ex_2p2,Ex_2p2,Ex_2p2,Ex_2p2,Ex_3p1,Ex_3p1,Ex_3p1,Ex_3p1,Ex_3p1,Ex_4p1,Ex_4p1,Ex_4p1,Ex_4p1,Ex_4p1,Ex_4p4,Ex_4p4,Ex_4p4,Ex_4p4,Ex_4p4,Ex_Bp1,Ex_Bp1,Ex_Bp1,Ex_Bp1,Ex_Bp1,Ex_Bp2,Ex_Bp2,Ex_Bp2,Ex_Bp2,Ex_Bp2,Ex_Bp3,Ex_Bp3,Ex_Bp3,Ex_Bp3,Ex_Bp3,Ex_Cp1,Ex_Cp1,Ex_Cp1,Ex_Cp1,Ex_Cp1,Ex_Cp2,Ex_Cp2,Ex_Cp2,Ex_Cp2,Ex_Cp2,Ex_Dp1,Ex_Dp1,Ex_Dp1,Ex_Dp1,Ex_Dp1,Ex_Alg1p3,Ex_Alg1p3,Ex_Alg1p3,Ex_Alg1p3,Ex_Alg1p3,Ex_Alg1p5,Ex_Alg1p5,Ex_Alg1p5,Ex_Alg1p5,Ex_Alg1p5,Ex_Alg_Ap1,Ex_Alg_Ap1,Ex_Alg_Ap1,Ex_Alg_Ap1,Ex_Alg_Ap1
subtest,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage
GreedyTotalUtilityMaximization,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1
ExactTotalUtilityMaximization,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1
LPTotalUtilityMaximization,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1,,,1,1,1
Phragmen_marginal_slate_clear_True_redistr_True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,,,,,
Phragmen_total_clear_True_redistr_True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,,,1,1,1
