vote,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_1p0_1p1_1p0_s2_1_1_1,k_1_s1_1p0_1p1_1p0_s2_1_1_1,k_1_s1_1p0_1p1_1p0_s2_1_1_1,k_1_s1_1p0_1p1_1p0_s2_1_1_1,k_1_s1_1p0_1p1_1p0_s2_1_1_1,Ex 1.1,Ex 1.1,Ex 1.1,Ex 1.1,Ex 1.1,Ex 1.1 modified,Ex 1.1 modified,Ex 1.1 modified,Ex 1.1 modified,Ex 1.1 modified,Ex A.1,Ex A.1,Ex A.1,Ex A.1,Ex A.1,Ex 1.3,Ex 1.3,Ex 1.3,Ex 1.3,Ex 1.3,Ex 2.1,Ex 2.1,Ex 2.1,Ex 2.1,Ex 2.1,Ex 2.2,Ex 2.2,Ex 2.2,Ex 2.2,Ex 2.2,Ex 3.1,Ex 3.1,Ex 3.1,Ex 3.1,Ex 3.1,Ex 4.1,Ex 4.1,Ex 4.1,Ex 4.1,Ex 4.1,Ex 4.4,Ex 4.4,Ex 4.4,Ex 4.4,Ex 4.4,Ex B.1,Ex B.1,Ex B.1,Ex B.1,Ex B.1,Ex B.2,Ex B.2,Ex B.2,Ex B.2,Ex B.2,Ex B.3,Ex B.3,Ex B.3,Ex B.3,Ex B.3,Ex C.1,Ex C.1,Ex C.1,Ex C.1,Ex C.1,Ex C.2,Ex C.2,Ex C.2,Ex C.2,Ex C.2,Ex D.1,Ex D.1,Ex D.1,Ex D.1,Ex D.1,Ex Alg1.3,Ex Alg1.3,Ex Alg1.3,Ex Alg1.3,Ex Alg1.3,Ex Alg1.5,Ex Alg1.5,Ex Alg1.5,Ex Alg1.5,Ex Alg1.5,Ex Alg A.1,Ex Alg A.1,Ex Alg A.1,Ex Alg A.1,Ex Alg A.1,Ex_1_1,Ex_1_1,Ex_1_1,Ex_1_1_modified,Ex_1_1_modified,Ex_1_1_modified,Ex_A_1,Ex_A_1,Ex_A_1,Ex_1_3,Ex_1_3,Ex_1_3,Ex_2_1,Ex_2_1,Ex_2_1,Ex_2_2,Ex_2_2,Ex_2_2,Ex_3_1,Ex_3_1,Ex_3_1,Ex_4_1,Ex_4_1,Ex_4_1,Ex_4_4,Ex_4_4,Ex_4_4,Ex_B_1,Ex_B_1,Ex_B_1,Ex_B_2,Ex_B_2,Ex_B_2,Ex_B_3,Ex_B_3,Ex_B_3,Ex_C_1,Ex_C_1,Ex_C_1,Ex_C_2,Ex_C_2,Ex_C_2,Ex_D_1,Ex_D_1,Ex_D_1,Ex_Alg1_3,Ex_Alg1_3,Ex_Alg1_3,Ex_Alg1_5,Ex_Alg1_5,Ex_Alg1_5,Ex_Alg_A_1,Ex_Alg_A_1,Ex_Alg_A_1
subtest,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,"00 (Minimum, total utility) Pareto efficient","01 (Minimum, total utility) Non-extremal Pareto efficient",02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage,02 Individual Pareto efficient,03 m-th happiest person Pareto efficient,04 Maximum coverage
GreedyTotalUtilityMaximization,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ExactTotalUtilityMaximization,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LPTotalUtilityMaximization,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phragmen_marginal_slate_clear_True_redistr_True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Phragmen_total_clear_True_redistr_True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
