vote,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_1_1_1_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_4_4_4_s2_2_2_2_s3_3_3_3,k_1_s1_1p0_1p1_1p0_s2_1_1_1,k_1_s1_1p0_1p1_1p0_s2_1_1_1
subtest,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient,01 Pareto efficient,02 Non-extremal Pareto efficient
GreedyTotalUtilityMaximization,1,1,1,1,1,1
ExactTotalUtilityMaximization,1,1,1,1,1,1
LPTotalUtilityMaximization,1,1,1,1,1,1
Phragmen_marginal_slate_clear_True_redistr_True,1,1,1,1,0,0
Phragmen_total_clear_True_redistr_True,1,1,1,1,0,0
